Term,Definition
"bumf 	"," reading materials (documents, written information) that you must read and deal with but that you think are extremely boring"
"strapado 	"," a form of torture in which the hands are tied behind a person's back and they are lifted off the ground by a rope tied to their wrists, then allowed to drop until their fall is checked with a jerk by the rope"
"enfeoffment 	"," under the feudal system, the deed by which a person was given land in exchange for a pledge of service"
"chirk 	"," make a shrill creaking, squeaking, or noise, as of a door mouse,  or bird"
"burke 	"," get rid of, silence, or suppress"
"twee 	"," excessively or affectedly dainty, sentimental, or refined"
"oppugn 	"," challenge the accuracy, probity, or propriety of"
"tittup 	"," to walk with a lofty proud gait, often in an attempt to impress others"
"hypostatize 	"," construe as a real existence, of a conceptual entity"
"termagant 	"," a scolding, nagging, bad-tempered woman"
"demiurge 	"," a subordinate deity, in some philosophies the creator of the universe"
"tarn 	"," a mountain lake, especially one formed by glaciers"
"macaronic 	"," mixing two languages, especially Latin and another language"
"roister 	"," engage in boisterous, drunken merrymaking"
"athwart 	"," across the course, direction, or center line of a ship"
"amphibrach 	"," a metrical unit with unstressed-stressed-unstressed syllables (e.g., `remember'), "
"kith 	", your friends and acquaintances
"pandiculation 	", yawning and stretching (as when first waking up)
"belletristic 	", written and regarded for aesthetic value rather than content
"moil 	", work hard
"arrant 	", without qualification; used informally as intensifiers
"kiang 	", wild ass of Tibet and Mongolia
"valetudinarian 	", weak or sickly person especially one morbidly concerned with his or her health
"maunder 	", wander aimlessly
"funambulism 	", walking on a tightrope or slack rope
"knackered 	", very tired
"chatoyant 	", varying in color when seen in different lights or from different angles
"synecdoche 	", using part of something to refer to the whole thing
"fabian 	", using cautious slow strategy to wear down opposition
"syllepsis 	", use of a word to govern two or more words though agreeing in number or case etc. with only one
"bootless 	", unproductive of success
"corvee 	", unpaid labor (as for the maintenance of roads) required by a lord of his vassals in lieu of taxes
"nescient 	", uneducated in general; lacking knowledge or sophistication
"kibe 	", ulcerated chilblain on the heel
"Pongo 	", type genus of the family containing orangutans
"boreal 	", toward or located in the north
"minacious 	", threatening or foreshadowing evil or tragic developments
"syrinx 	", the vocal organ of a bird
"Paraclete 	", the third person in the Trinity
"muliebrity 	", the state of being an adult woman
"limen 	", the smallest detectable sensation
"manse 	", the residence of a clergyman
"albedo 	", the ratio of reflected to incident light
"mentum 	", the protruding part of the lower jaw
"incalescence 	", the property of being warming
"vermiculation 	", the process of wavelike muscle contractions of the alimentary tract that moves food along
"parturition 	", the process of giving birth
"apoapsis 	", the point in an orbit farthest from the body being orbited
"freshet 	", the occurrence of a water flow resulting from sudden rain or melting snow
"architrave 	", the molding around a door or window
"syncope 	", the loss of sounds from within a word
"malik 	", the leader of a town or community in some parts of Asia Minor and the Indian subcontinent
"lammergeyer 	", the largest Eurasian bird of prey
"nacre 	", the iridescent internal layer of a mollusk shell
"exordium 	", the introductory section of an oration or discourse
"cortege 	", the group following and attending to some important person
"legerity 	", the gracefulness of a person or animal that is quick and nimble
"haecceity 	", the essence that makes something the kind of thing it is
"quiddity 	", the essence that makes something the kind of thing it is
"theurgy 	", the effect of supernatural intervention in human affairs
"mahout 	", the driver and keeper of an elephant
"major-domo 	", the chief steward or butler of a great household
"seneschal 	", the chief steward or butler of a great household
"rescission 	", the cancellation of a contract
"apologetics 	", the branch of theology that is concerned with the defense of Christian doctrines
"onomastics 	", the branch of lexicology that studies the forms and origins of proper names
"zymurgy 	", the branch of chemistry concerned with fermentation
"nucha 	", the back side of the neck
"cantle 	", the back of a saddle seat
"homiletics 	", the art of preaching
"welkin 	", the apparent surface of the imaginary sphere on which celestial bodies appear to be projected
"embouchure 	", the aperture of a wind instrument into which the player blows directly
"ullage 	", the amount that a container lacks of being full
"polysemy 	", the ambiguity of an individual word or phrase that can be used (in different contexts) to express two or more different meanings
"spoliation 	", the act of stripping and taking by force
"involution 	", the act of sharing in the activities of a group
"cunctation 	", the act of procrastinating
"oblation 	", the act of contributing to the funds of a church or charity
"ambuscade 	", the act of concealing yourself and lying in wait to attack by surprise
"nous 	", that which is responsible for one's thoughts and feelings
"chiromancy 	", telling fortunes by lines on the palm of the hand
"bruit 	", tell or spread rumors
"rive 	", tear or be torn violently
"gimcrack 	", tastelessly showy
"degust 	", taste with relish
"chaffer 	", talk socially without exchanging too much information
"claver 	", talk socially without exchanging too much information
"mussitate 	", talk indistinctly; usually in a low voice
"descant 	", talk at great length about something of one's interest
"supervene 	", take place as an additional or unexpected development
"brachiation 	", swinging by the arms from branch to branch
"malmsey 	", sweet Madeira wine
"inculpate 	", suggest that someone is guilty
"metonymy 	", substituting the name of a feature for the name of the thing
"rappee 	", strong snuff made from dark coarse tobacco
"fustigate 	", strike with a cudgel
"sclaff 	", strike (the ground) in making a sclaff
"catachresis 	", strained or paradoxical use of words either in error (as `blatant' to mean `flagrant') or deliberately (as in a mixed metaphor: `blind mouths')
"urticate 	", sting with or as with nettles and cause a stinging pain or sensation
"haulm 	", stems of beans and peas and potatoes and grasses collectively as used for thatching and bedding
"asseverate 	", state categorically
"frowsty 	", stale and unclean smelling
"ghat 	", stairway in India leading down to a landing on the water
"resile 	", spring back; spring away from an impact
"autotomy 	", spontaneous removal or casting off of a body part (as the tail of a lizard or claw of a lobster) especially when the organism is injured or under attack
"metheglin 	", spiced or medicated mead
"fillip 	", something that acts as a stimulus
"recusant 	", someone who refuses to conform to established standards of conduct
"jackanapes 	", someone who is unimportant but cheeky and presumptuous
"lambent 	", softly bright or radiant
"cantabile 	", smooth and flowing
"spicule 	", small pointed structure serving as a skeletal element in various marine and freshwater invertebrates e.g. sponges and corals
"loupe 	", small magnifying glass used by jewelers and horologists
"tumidity 	", slight swelling of an organ or part
"raddled 	", showing the wearing effects of overwork or care or suffering
"lingulate 	", shaped like a tongue
"circinate 	", shaped like a ring
"rebarbative 	", serving or tending to repel
"autogamy 	", self-fertilization in plants
"sparge 	", scatter with liquid; wet lightly
"seppuku 	", ritual suicide by self-disembowelment on a sword
"canorous 	", richly melodious
"bewray 	", reveal unintentionally
"costive 	", retarding evacuation of feces; binding; constipating
"boffo 	", resoundingly successful and popular
"cyprian 	", resembling the ancient orgiastic worship of Aphrodite on Cyprus
"arenaceous 	", resembling or containing or abounding in sand
"hyaline 	", resembling glass in transparency or translucency
"rood 	", representation of the cross on which Jesus died
"anaphora 	", repetition of a word or phrase to begin successive clauses
"transude 	", release (a liquid) in drops or small quantities
"hadal 	", relating to the deepest parts of the ocean
"vigesimal 	", relating to or based on the number twenty
"penstock 	", regulator consisting of a valve or gate that controls the rate of water flow through a sluice
"sumptuary 	", regulating or controlling expenditure or personal behavior
"horripilation 	", reflex erection of hairs of the skin in response to cold or emotional stress or skin irritation
"incarnadine 	", redden or make flesh-colored
"acarpous 	", producing no fruit
"sciolism 	", pretentious superficiality of knowledge
"taradiddle 	", pretentious or silly talk or writing
"tosh 	", pretentious or silly talk or writing
"temerarious 	", presumptuously daring
"serried 	", pressed together
"grampus 	", predatory black-and-white toothed whale with large dorsal fin; common in cold seas
"propaedeutic 	", preceding and preparing for something
"kerygma 	", preaching the gospel of Christ in the manner of the early church
"fustian 	", pompous or pretentious talk or writing
"hypothecate 	", pledge without delivery or title of possession
"matutinal 	", pertaining to or occurring in the morning
"imbrue 	", permeate or impregnate
"ataraxia 	", peace of mind
"clerestory 	", part of an interior wall rising above the adjacent roof with windows admitting light
"lancinating 	", painful as if caused by a sharp instrument
"trumpery 	", ornamental objects of no great value
"volute 	", ornament consisting of a curve on a plane that winds around a center with an increasing distance from the center
"thaumaturgist 	", one who practices magic or sorcery
"anchorite 	", one retired from society for religious reasons
"majuscule 	", one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis
"crenel 	", one of a series of rounded projections (or the notches between them) formed by curves along an edge (as the edge of a leaf or piece of cloth or the margin of a shell or a shriveled red blood cell observed in a hypertonic solution etc.)
"asyndeton 	", omission of conjunctions where they would normally be used
"eidetic 	", of visual imagery of almost photographic accuracy
"limacine 	", of or resembling a slug
"apophatic 	", of or relating to the belief that God can be known to humans only in terms of what He is not (such as `God is unknowable')
"oneiric 	", of or relating to or suggestive of dreams
"lacustrine 	", of or relating to or living near lakes
"tellurian 	", of or relating to or inhabiting the land as opposed to the sea or air
"auric 	", of or relating to or containing or derived from gold
"marmoreal 	", of or relating to or characteristic of hard crystalline rock
"anile 	", of or like a feeble old woman
"supernal 	", of heaven or the spirit
"apodeictic 	", of a proposition; necessarily true or logically certain
"monophony 	", music consisting of a single vocal part
"lollop 	", move or walk clumsily and with a bounce
"pogey 	", money received from the state
"lenitive 	", moderating pain or sorrow by making it easier to bear
"nonesuch 	", model of excellence or perfection of a kind
"aperient 	", mildly laxative
"lenity 	", mercifulness as a consequence of being lenient or tolerant
"hebetude 	", mental lethargy or dullness
"deliquesce 	", melt or become liquid by absorbing moisture from the air
"courgette 	", marrow squash plant whose fruit are eaten when small
"raffish 	", marked by a carefree unconventionality or disreputability
"secern 	", mark as different
"etiolate 	", make weak by stunting the growth or development of
"obnubilate 	", make less visible or unclear
"crepitate 	", make a crackling sound
"fen 	", low-lying wet land with grassy vegetation
"discountenance 	", look with disfavor on
"contemn 	", look down on with disdain
"serail 	", living quarters reserved for wives and concubines and female relatives in a Muslim household
"ophidian 	", limbless scaly elongate reptile; some are venomous
"raillery 	", light teasing
"recherche 	", lavishly elegant and refined
"hawser 	", large heavy rope for nautical use
"skint 	", lacking funds
"lucubration 	", laborious cogitation
"atrabilious 	", irritable as if suffering from indigestion
"Cimmerian 	", intensely dark and gloomy as with perpetual darkness
"tisane 	", infusion of e.g. dried or fresh flowers or leaves
"bonce 	", informal terms for a human head
"chilblain 	", inflammation of the hands and feet caused by exposure to cold and moisture
"sudorific 	", inducing perspiration
"auspicate 	", indicate by signs
"prevenient 	", in anticipation
"durance 	", imprisonment (especially for a long time)
"incommensurable 	", impossible to measure or compare in value or size or excellence
"Brobdingnagian 	", huge
"cumber 	", hold back
"apotropaic 	", having the power to prevent evil or bad luck
"pandurate 	", having rounded ends and a contracted center
"sempiternal 	", having no known beginning and presumably no end
"glabrous 	", having no hair or similar growth; smooth
"fain 	", having made preparations
"purblind 	", having greatly reduced vision
"pennate 	", having feathered wings
"pyknic 	", having a squat and fleshy build
"leptorhine 	", having a long narrow nose
"catenulate 	", having a chainlike form
"roan 	", having a brownish coat thickly sprinkled with white or grey
"misology 	", hatred of reasoning
"froward 	", habitually disposed to disobedience and opposition
"assurgent 	", growing or extending upward
"longanimity 	", good-natured tolerance of delay or incompetence
"clinquant 	", glittering with gold or silver
"crapulous 	", given to gross intemperance in eating or drinking
"rede 	", give advice to
"saporous 	", full of flavor
"billingsgate 	", foul-mouthed or obscene abuse
"sacculated 	", formed with or having saclike expansions
"devoir 	", formal expression of respect
"flocculate 	", form into an aggregated lumpy or fluffy mass
"dint 	", force or effort
"brumous 	", filled or abounding with fog or mist
"gavage 	", feeding that consists of the delivery of a nutrient solution (as through a nasal tube) to someone who cannot or will not eat
