id,word,stem,lang,category,timestamp,profileid
en:involute,involute,involute,en,0,1388415348741,
en:voluting,voluting,volute,en,0,1388416268495,
en:inguinal,inguinal,inguinal,en,0,1388240803273,
en:rondos,rondos,rondo,en,0,1388435996104,
en:legerdemain,legerdemain,legerdemain,en,0,1388590340843,
en:putatively,putatively,putatively,en,0,1388588179090,
en:spontaneous,spontaneous,spontaneous,en,0,1388585193642,
en:seriatim,seriatim,seriatim,en,0,1388580337779,
en:book,book,book,en,0,1388779721433,
en:ague,ague,ague,en,0,1390229461039,
en:solecisms,solecisms,solecism,en,0,1390229785581,
en:discomfiture,discomfiture,discomfiture,en,0,1390227890210,
en:sedulously,sedulously,sedulously,en,0,1390239556651,
en:metonymy,metonymy,metonymy,en,0,1390240337274,
en:uxorious,uxorious,uxorious,en,0,1390239524024,
en:Svengali,Svengali,Svengali,en,0,1390239568328,
en:sententiousness,sententiousness,sententiousness,en,0,1390280519360,
en:luffing,luffing,luff,en,0,1390282020002,
en:funicular,funicular,funicular,en,0,1390283583383,
en:pavane,pavane,pavane,en,0,1390282010622,
en:hod,hod,hod,en,0,1390280536507,
en:hymeneal,hymeneal,hymeneal,en,0,1390283142059,
en:suppurating,suppurating,suppurate,en,0,1390280862066,
en:cerements,cerements,cerement,en,0,1390449476628,
en:fructify,fructify,fructify,en,0,1390312870431,
en:torpor,torpor,torpor,en,0,1390356418735,
en:impuissant,impuissant,impuissant,en,0,1390394910271,
en:basalt,basalt,basalt,en,0,1390454186357,
en:chrysoprase,chrysoprase,chrysoprase,en,0,1390451085866,
en:logogriphs,logogriphs,logogriph,en,0,1390451892512,
en:gamboled,gamboled,gambol,en,0,1390453238260,
en:haymows,haymows,haymow,en,0,1390453573294,
en:Averroes,Averroes,Averroës,en,0,1390451227031,
en:mute,mute,mute,en,0,1390479681449,
en:Levantine,Levantine,Levantine,en,0,1390451794139,
en:damascened,damascened,damascened,en,0,1390453135181,
en:auguries,auguries,augury,en,0,1390453969807,
en:majolica,majolica,majolica,en,0,1390479684786,
en:bollard,bollard,bollard,en,0,1390478265122,
en:ness,ness,ness,en,0,1390453298867,
en:chalcedony,chalcedony,chalcedony,en,0,1390451030741,
en:mullioned,mullioned,mullioned,en,0,1390454783867,
en:armature,armature,armature,en,0,1390451331828,
en:lavabo,lavabo,lavabo,en,0,1390454334485,
en:mandrel,mandrel,mandrel,en,0,1390454825362,
en:norias,norias,noria,en,0,1390451678441,
en:rebus,rebus,rebus,en,0,1390451855953,
en:spouts,spouts,spout,en,0,1390454331509,
en:zebus,zebus,zebu,en,0,1390477088061,
en:planispheres,planispheres,planisphere,en,0,1390450685724,
en:withers,withers,withers,en,0,1390451519764,
en:stridor,stridor,stridor,en,0,1390451759658,
en:porphyry,porphyry,porphyry,en,0,1390478701089,
en:pediments,pediments,pediment,en,0,1390478785044,
en:incunabula,incunabula,incunabula,en,0,1390515861495,
en:balustrades,balustrades,balustrade,en,0,1390515933115,
en:medlars,medlars,medlar,en,0,1390514929088,
en:Janizaries,Janizaries,janizary,en,0,1390516034822,
en:gouge,gouge,gouge,en,0,1390512983855,
en:francolin,francolin,francolin,en,0,1390515158737,
en:abaci,abaci,abaca,en,0,1390515900683,
en:porticos,porticos,portico,en,0,1390515966714,
en:generation,generation,generation,en,0,1390514064870,
en:astronomers,astronomers,astronomer,en,0,1390514249992,
en:triglyphs,triglyphs,triglyph,en,0,1390515891166,
en:sibyl,sibyl,sibyl,en,0,1390515479746,
en:odalisques,odalisques,odalisque,en,0,1390516018023,
en:metopes,metopes,metope,en,0,1390515915140,
en:elytra,elytra,elytron,en,0,1390515789191,
en:lazaretto,lazaretto,lazaretto,en,0,1390515303575,
en:escutcheon,escutcheon,escutcheon,en,0,1390757241747,
en-GB:spoliation,spoliation,spoliation,en-GB,0,1390757309598,
en:plenary,plenary,plenary,en,0,1391884337528,
en:everted,everted,Evert,en,0,1391884590984,
en:Her,Her,Her,en,0,1392380169863,
en:alexandrine,alexandrine,alexandrine,en,0,1392380314796,
en:mistral,mistral,mistral,en,0,1392380477553,
en:pilasters,pilasters,pilaster,en,0,1392380795647,
en:romantic,romantic,romantic,en,0,1392382141267,
en:hummock,hummock,hummock,en,0,1392382602397,
en:compline,compline,compline,en,0,1392384572657,
en:Utrillo,Utrillo,Utrillo,en,0,1395289925140,
en:embarrassing,embarrassing,embarrassing,en,0,1395495081886,
en:tyro,tyro,tyro,en,0,1395723912746,
en:a,a,a,en,0,1395724409055,
en:accidie,accidie,accidie,en,0,1395783418179,
en:cosh,cosh,cosh,en,0,1395886219889,
en:tremble,tremble,tremble,en,0,1397319207212,
en:laugh,laugh,laugh,en,0,1397587839339,
en:to,to,to,en,0,1397587867814,
en:some,some,some,en,0,1397591037559,
en:situations,situations,situation,en,0,1397592548006,
en:dudgeon,dudgeon,dudgeon,en,0,1397592558833,
en:bathos,bathos,bathos,en,0,1397594534354,
en:propitiated,propitiated,propitiate,en,0,1401686397787,
en:apotropaic,apotropaic,apotropaic,en,0,1401686411358,
en:bumptious,bumptious,bumptious,en,0,1401728674455,
en:factive,factive,factive,en,0,1401730930920,
en:nomological,nomological,nomological,en,0,1401730975924,
en:ensorcels,ensorcels,ensorcel,en,0,1401731005601,
en:subtending,subtending,subtend,en,0,1401731222573,
en:traceries,traceries,tracery,en,0,1401821399749,
en:destrier,destrier,destrier,en,0,1404397521950,
en:sept,sept,sept,en,0,1404400196877,
en:palanquin,palanquin,palanquin,en,0,1404401736424,
en:timorously,timorously,timorously,en,0,1404589993540,
en:wheelhouse,wheelhouse,wheelhouse,en,0,1404597793107,
en:shadowed,shadowed,shadow,en,0,1404921133101,
en:sigil,sigil,sigil,en,0,1404938072161,
en:aurochs,aurochs,aurochs,en,0,1404938437139,
en:puissant,puissant,puissant,en,0,1404941221693,
en:gaoler,gaoler,gaoler,en,0,1405085114420,
en:balustrade,balustrade,balustrade,en,0,1405086950327,
en:rondels,rondels,rondel,en,0,1405087572414,
en:maidenhead,maidenhead,maidenhead,en,0,1405089335451,
en:hart,hart,hart,en,0,1405137712441,
en:see,see,see,en,0,1405138319729,
en:When,When,when,en,0,1405246307186,
en:under,under,under,en,0,1405251332145,
en:Robb,Robb,robber,en,0,1405251355691,
en:was,was,was,en,0,1405251362258,
en:crenellations,crenellations,crenellations,en,0,1405257311207,
en:quailed,quailed,quail,en,0,1405356693701,
en:that,that,that,en,0,1405357393715,
en:our,our,our,en,0,1405385431973,
en:ser,ser,ser.,en,0,1405390821019,
en:Wolf,Wolf,wolf,en,0,1405394501349,
en:know,know,know,en,0,1405394697900,
en:crannogs,crannogs,crannog,en,0,1405397194564,
en:tabard,tabard,tabard,en,0,1405399408427,
en:gibbet,gibbet,gibbet,en,0,1405400069085,
en:wyvern,wyvern,wyvern,en,0,1405441896615,
en:your,your,your,en,0,1407728247793,
en:samite,samite,samite,en,0,1409690596291,
en:sheepfold,sheepfold,sheepfold,en,0,1409950210972,
en:sward,sward,sward,en,0,1409951248795,
en:garderobe,garderobe,garderobe,en,0,1411012850611,
en:defile,defile,defile,en,0,1411364928980,
en:ardent,ardent,ardent,en,0,1411538776503,
en:time,time,time,en,0,1411647377234,
en:fight,fight,fight,en,0,1417351970463,
en:mind,mind,mind,en,0,1417352857001,
en:Pali,Pali,Pali,en,0,1417353695832,
en:pro forma,pro forma,pro forma,en,0,1417354291410,
en:vipassanā,vipassanā,vipassana,en,0,1417355157270,
en:ideology,ideology,ideology,en,0,1419572374266,
en:colonnade,colonnade,colonnade,en,0,1423370681352,
en:ersatz,ersatz,ersatz,en,0,1423370789233,
en:detrainment,detrainment,detrainment,en,0,1423411026815,
en:betook,betook,betook,en,0,1423411094294,
en:charlady,charlady,charlady,en,0,1423411343233,
en:ducal,ducal,ducal,en,0,1423411417276,
en:extensile,extensile,extensile,en,0,1423411612193,
en:prepuce,prepuce,prepuce,en,0,1423411625761,
en:quiff,quiff,quiff,en,0,1423411918422,
en:cheroots,cheroots,cheroot,en,0,1423412281888,
en:dissimulating,dissimulating,dissimulate,en,0,1423412490881,
en:traduce,traduce,traduce,en,0,1423412926710,
en:Asclepius,Asclepius,Asclepius,en,0,1423414484435,
en:truncheons,truncheons,truncheon,en,0,1423414678304,
en:razzia,razzia,razzia,en,0,1423414858030,
en:lorry,lorry,lorry,en,0,1423425008390,
en:adumbrated,adumbrated,adumbrate,en,0,1423425102324,
en:fettle,fettle,fettle,en,0,1423577950781,
en:cavils,cavils,cavil,en,0,1423578184825,
en:tractable,tractable,tractable,en,0,1423578351887,
en:deportment,deportment,deportment,en,0,1423578425035,
en:catamite,catamite,catamite,en,0,1423578443164,
en:daubed,daubed,daube,en,0,1423578529320,
en:cynosure,cynosure,cynosure,en,0,1423579088727,
en:autarky,autarky,autarky,en,0,1423581407923,
en:crepitated,crepitated,crepitate,en,0,1423582163967,
en:exophthalmic,exophthalmic,exophthalmic,en,0,1423582354717,
en:missals,missals,missal,en,0,1423605411449,
en:pullulating,pullulating,pullulate,en,0,1423605621273,
en:nonce,nonce,nonce,en,0,1423606022796,
en:rills,rills,rill,en,0,1423606304881,
