id,term,part_of_speech,definition,quizzed,correct
1,MEGRIMS,Noun,"low spirits. the blues.
a whim or caprice.
migraine.",0,0
2,EDUCE,Verb,"deduce (a principle, a meaning, develop or evolve from a latent or potential state",0,0
3,PRO FORMA,Noun,"a standard document, form or financial statement",0,0
4,ELEATIC,Noun,a pre-Socratic school of philosophy founded by Parmenides in the early fifth century BC,0,0
5,ANAPHRODISIAC,Noun,a drug tending to reduce sexual desire,0,0
6,ALEXANDRINE,Noun,a line of verse having six iambic feet,0,0
7,VERMILION,Verb,to turn brilliant red/scarlet,0,0
8,ROWEL,Verb,to urge a horse onward,0,0
9,COSH,Verb,"hit with a stick or bar, usually on the head",0,0
10,PALI,Adjective,an Indo-Aryan language used as the liturgical and scholarly language of Theravada Buddhism,0,0
11,BOWER,Verb,to enclose,0,0
12,CONCERTINA,Verb,to collapse,0,0
13,MALINKE,Adjective,"relating to a people of Mandingo affiliation widespread in the western part of africa, or  their language.",0,0
14,AMORITE,Adjective,"relating to a member of one of various Semitic peoples living in Mesopotamia, Syria, and Palestine during the third and second millennia b.c.",0,0
15,CALABASH,Noun,"round gourd of a tropical american evergreen tree that produces large round gourds, old world climbing plant with hard-shelled bottle-shaped gourds as fruits, bottle made from the dried shell of a bottle gourd, a pipe for smoking. has a curved stem and a large bowl made from a type of  gourd",0,0
16,GUNKHOLE,Verb,"cruise in and out of shallow coves or channels nearly unnavigable because of mud, rocks, or vegetation",0,0
17,ROSICRUCIAN,Adjective,of or relating to adherents of a 17th and 18th century movement professing esoteric and occult wisdom with emphasis on mysticism and spiritual enlightenment,0,0
18,GAFF,Verb,"seize or impale with a spear or hook, or to fit (a gamecock) with a metal spur",0,0
19,PAVANE,Noun,music composed for a stately court dance of the 16th and 17th centuries,0,0
20,ABACA,Noun,"a kind of hemp obtained from a plant in the philippines, philippine banana tree having leafstalks that yield manila hemp used for rope and paper etc",0,0
21,REVENANT,Adjective,"of or relating to or typical of a come back, especially after death or long absence,  coming back",0,0
22,COLORATURA,Noun,"a lyric soprano who specializes in a type of vocal music, singing with florid ornamentation",0,0
23,FREESIA,Noun,any of several plants  valued for their one-sided clusters of usually fragrant yellow or white or pink tubular flowers,0,0
24,GENTIAN,Noun,"any of numerous herb with opposite smooth leaves and showy usually blue flowers
2 : the rhizome and roots of a yellow-flowered variety of southern Europe that is used as a tonic, stomachic, and flavoring in vermouth",1,1
25,CINEREOUS,Adjective,"in the state of or reduced to ashes, resembling ashes.
ash-colored. Grayish",0,0
26,TARMAC,Verb,surface (a road or other outdoor area),0,0
27,SHEBANG,Noun,an entire system. used in the phrase `the whole � `,0,0
28,TARANTELLA,Noun,a type of dance or music composed in six-eight time for dancing the same a lively whirling italian dance for two persons,0,0
29,AILANTHUS,Noun,any of several deciduous asian trees,0,0
30,BETOOK,Verb,"to have caused to go, usually used reflexively, archaic: to have resorted or have had recourse to.",0,0
31,HOMILETIC,Adjective,of the nature of a homily or sermon,0,0
32,ARGUTE,Adjective,"characterized by shrewdness, acuteness, or sagacity 2.shrill or sharply serrate",0,0
33,ASPHODEL,Noun,any of various chiefly mediterranean plants having linear leaves and racemes of white or pink or yellow flowers,1,1
34,PILLORY,Verb,"expose to ridicule or public scorn, criticize harshly or violently",0,0
35,KASHRUTH,Noun,"the body of dietary laws prescribed for jews:
or an observer thereof
fitness for use with respect to jewish law:",0,0
36,BOBSY-DIE,Noun,"informal fuss, confusion, pandemonium (esp in the phrases kick up [], play [] )",0,0
37,FIBRIN,Noun,a white insoluble fibrous protein formed by the action of thrombin when blood clots. it forms a network that traps red cells and platelets,1,1
38,LEICESTER,Noun,"a largely agricultural county in central england, an industrial city in central england. built on the site of a roman settlement",0,0
39,PALL,Verb,"become less interesting or attractive, cause to lose courage, cause surfeit through excess though initially pleasing, cause to become flat, lose sparkle or bouquet, lose strength or effectiveness. become or appear boring, insipid, or tiresome (to, lose interest or become bored with something or somebody",0,0
40,PROPITIATORY,Adjective,"having power to atone for or offered by way of expiation, intended to reconcile or appease",0,0
41,CROMULENT,Adjective,"appearing legitimate but actually being spurious. [a word used by the schoolteacher, miss hoover, in an episode of the simpsons, in which she defended one made-up word by making up another",0,0
42,PHOTON,Noun,a particle representing a quantum of light or other electromagnetic radiation. carries energy proportional to the radiation frequency but has zero rest mass.,0,0
43,ANGELUS,Noun,"the sound of a bell rung in roman catholic churches to announce the time when the prayer should be recited, a prayer said 3 times a day by roman catholics in memory of the annunciation",0,0
44,TUAREG,Noun,"a member of a nomadic berber people of the sahara, the dialect of berber spoken by the same",0,0
45,NAHUATL,Noun,"a member of any of various indian peoples of central mexico, the uto-aztecan language spoken by same",0,0
46,PONCE,Noun,"a man who is effeminate in his manner and fussy in the way he dresses, someone who procures customers for whores (in england they call a pimp this)",0,0
47,AMORITE,Noun,"a member of one of the principal tribes, or nations, of canaan before its conquest by the israelites. the semitic language of the same.",0,0
48,PHATIC,Adjective,"denoting or relating to language used for general purposes of social interaction, rather than to convey information or ask questions. utterances such as hello, how are you? and nice morning, isnt it? are this",0,0
49,INVOLUTE,Adjective,"especially of petals or leaves in bud. having margins rolled inward, (of some shells",0,0
50,VOLUTE,Noun,"ornament consisting of a curve on a plane that winds around a center with an increasing distance from the center, a structure consisting of something wound in a continuous series of loops",0,0
51,VOLUTE,Adjective,in the shape of a coil,0,0
52,INGUINAL,Adjective,of or relating to or near the groin,0,0
